model,agent,normalized_mean,normalized_median,original_benchmark_table_coverage,rank
gpt-5.4,codex,0.6007577358438198,0.589796717605577,0.9649122807017544,1
gemini-3.1-pro-preview,gemini-cli,0.4699496319367437,0.4051374196764599,0.9649122807017544,2
gemini-3.1-pro-preview,terminus-2,0.3772199577837005,0.3656643427028392,0.9649122807017544,3
claude-opus-4-6,claude-code,0.31144896619110923,0.32478712560653944,0.9649122807017544,4
claude-opus-4-6,terminus-2,0.27800145670598236,0.2730799069045768,0.9473684210526315,5
claude-sonnet-4-6,claude-code,0.15365351689267395,0.1123331714921274,0.9824561403508771,6
claude-sonnet-4-6,terminus-2,0.05990180478738084,0.0004165178419609,0.9649122807017544,7
gemini-3-flash-preview,terminus-2,-0.008418618077887343,0.028226929288804048,0.9649122807017544,8
gpt-5-mini,codex,-0.18945819269928377,-0.12042766181848175,0.9649122807017544,9
gemini-3-flash-preview,gemini-cli,-0.24289785873623343,0.08103708967798831,0.9473684210526315,10
gpt-5.4,terminus-2,-0.2470783181582628,-0.2418626372976751,0.9649122807017544,11
gpt-5-mini,terminus-2,-0.7128490556881504,-0.6351937982236192,0.9649122807017544,12
claude-haiku-4-5-20251001,terminus-2,-0.9662258611370578,-0.7402135231316724,0.9649122807017544,13
gpt-5-nano,terminus-2,-1.7204687021717355,-1.2928335084566576,0.9649122807017544,14
gpt-5-nano,codex,-3.285882479508573,-1.2235484141892812,0.9473684210526315,15
claude-haiku-4-5-20251001,claude-code,-14902431.398079967,-0.2837890648222179,0.9473684210526315,16
