matrix,component,singular_value,variance_fraction,cumulative_variance_fraction
benchmark,1,849438574.2194954,0.9999999999999901,0.9999999999999901
benchmark,2,80.4464606184826,8.969121858257596e-15,0.9999999999999991
benchmark,3,17.087094561866454,4.0464342470438377e-16,0.9999999999999996
benchmark,4,14.736424960737018,3.009679955497882e-16,0.9999999999999999
benchmark,5,8.069326041529132,9.024238588717147e-17,1.0
benchmark,6,6.256999863209572,5.425856865979623e-17,1.0
benchmark,7,5.524839213962105,4.2303405376047185e-17,1.0
benchmark,8,4.710559416186498,3.075254156215768e-17,1.0
benchmark,9,4.049031922143755,2.2721575581788528e-17,1.0
benchmark,10,3.6594925009844954,1.8559991159115882e-17,1.0
benchmark,11,3.3673893846665357,1.571530155400454e-17,1.0
benchmark,12,2.792747486817043,1.0809345071997955e-17,1.0
benchmark,13,2.262272221803284,7.092931533170904e-18,1.0
benchmark,14,2.0986183538320837,6.103837673673223e-18,1.0
benchmark,15,1.8812278136480391,4.904772002946836e-18,1.0
benchmark,16,0.9731376299415588,1.3124554628223457e-18,1.0
task,1,363179791660.1263,0.9999999999999983,0.9999999999999983
task,2,10053.837598620541,7.663380350869241e-16,0.9999999999999991
task,3,9603.639191585016,6.992433103927907e-16,0.9999999999999998
task,4,3329.557091884914,8.404842546983999e-17,0.9999999999999999
task,5,2744.7666864915573,5.711728001322841e-17,1.0
task,6,1297.0858308222353,1.2755399933614591e-17,1.0
task,7,657.9666725816195,3.282195472943332e-18,1.0
task,8,598.4600905827574,2.715357633597065e-18,1.0
task,9,375.5971270891398,1.0695501996586146e-18,1.0
task,10,321.10809470650014,7.817342806098366e-19,1.0
task,11,298.1090999188631,6.737629354738635e-19,1.0
task,12,239.95705792200656,4.3653966077945895e-19,1.0
task,13,193.37837640178736,2.835126679448343e-19,1.0
task,14,155.05191054638772,1.8226819535262025e-19,1.0
task,15,121.67186938319931,1.122372483962462e-19,1.0
task,16,105.48960586889605,8.43676571481885e-20,1.0
