column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
aa-lcr/aa-lcr/aa-lcr-1,9,7,0.4375,0.911111111111111,0.09938079899999064,1.0,0.8,1.0,0.8,1.0,identity,1.0,0.19999999999999996,0,0
aa-lcr/aa-lcr/aa-lcr-10,9,7,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-100,9,7,0.4375,0.6444444444444444,0.20608041101101565,0.6,0.4,0.8,0.4,1.0,identity,0.6,0.4,0,0
aa-lcr/aa-lcr/aa-lcr-11,10,6,0.375,0.6599999999999999,0.31048349392520047,0.7,0.45,0.95,0.0,1.0,identity,0.7,0.49999999999999994,0,0
aa-lcr/aa-lcr/aa-lcr-12,10,6,0.375,0.765,0.2846489065498056,0.9,0.5,1.0,0.25,1.0,identity,0.9,0.5,0,0
aa-lcr/aa-lcr/aa-lcr-13,9,7,0.4375,0.8222222222222223,0.17497795275581804,0.8,0.6,1.0,0.6,1.0,identity,0.8,0.4,0,0
aa-lcr/aa-lcr/aa-lcr-14,10,6,0.375,0.86,0.3104834939252004,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.3104834939252004,0,0
aa-lcr/aa-lcr/aa-lcr-15,10,6,0.375,0.48,0.2993325909419153,0.4,0.25,0.75,0.0,1.0,identity,0.4,0.5,0,0
aa-lcr/aa-lcr/aa-lcr-16,10,6,0.375,0.5599999999999999,0.33226495451672294,0.6,0.25,0.8,0.0,1.0,identity,0.6,0.55,0,0
aa-lcr/aa-lcr/aa-lcr-17,9,7,0.4375,0.6370370000000001,0.36799239644439513,0.8,0.2,1.0,0.2,1.0,identity,0.8,0.8,0,0
aa-lcr/aa-lcr/aa-lcr-18,9,7,0.4375,0.044444444444444446,0.08314794192830981,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.08314794192830981,0,0
aa-lcr/aa-lcr/aa-lcr-19,10,6,0.375,0.6399999999999999,0.4363484845854286,0.9,0.15,1.0,0.0,1.0,identity,0.9,0.85,0,0
aa-lcr/aa-lcr/aa-lcr-20,10,6,0.375,0.6599999999999999,0.41036569057366384,0.9,0.3,1.0,0.0,1.0,identity,0.9,0.7,0,0
aa-lcr/aa-lcr/aa-lcr-21,10,6,0.375,0.68,0.41182520563948005,0.9,0.35000000000000003,1.0,0.0,1.0,identity,0.9,0.6499999999999999,0,0
aa-lcr/aa-lcr/aa-lcr-22,10,6,0.375,0.02,0.06,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.06,0,0
aa-lcr/aa-lcr/aa-lcr-23,8,8,0.5,0.775,0.21065374432940895,0.8,0.6,1.0,0.4,1.0,identity,0.8,0.4,0,0
aa-lcr/aa-lcr/aa-lcr-24,9,7,0.4375,0.28888888888888886,0.34138425546082707,0.2,0.0,0.6,0.0,1.0,identity,0.2,0.6,0,0
aa-lcr/aa-lcr/aa-lcr-25,10,6,0.375,0.12,0.20396078054371142,0.0,0.0,0.15000000000000002,0.0,0.6,identity,0.0,0.15000000000000002,0,0
aa-lcr/aa-lcr/aa-lcr-26,10,6,0.375,0.02,0.06,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.06,0,0
aa-lcr/aa-lcr/aa-lcr-27,10,6,0.375,0.5000000000000001,0.4404543109109048,0.4,0.05,1.0,0.0,1.0,identity,0.4,0.95,0,0
aa-lcr/aa-lcr/aa-lcr-28,10,6,0.375,0.66,0.4103656905736638,0.9,0.3,1.0,0.0,1.0,identity,0.9,0.7,0,0
aa-lcr/aa-lcr/aa-lcr-29,10,6,0.375,0.6,0.4381780460041329,0.8,0.1,1.0,0.0,1.0,identity,0.8,0.9,0,0
aa-lcr/aa-lcr/aa-lcr-3,10,6,0.375,0.6,0.4289522117905444,0.8,0.1,1.0,0.0,1.0,identity,0.8,0.9,0,0
aa-lcr/aa-lcr/aa-lcr-30,10,6,0.375,0.02,0.06,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.06,0,0
aa-lcr/aa-lcr/aa-lcr-31,9,7,0.4375,0.9555555555555555,0.0831479419283098,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.0831479419283098,0,0
aa-lcr/aa-lcr/aa-lcr-32,10,6,0.375,0.68,0.34871191548325386,0.8,0.45,1.0,0.0,1.0,identity,0.8,0.55,0,0
aa-lcr/aa-lcr/aa-lcr-33,10,6,0.375,0.8333332999999999,0.24630611035865513,1.0,0.8,1.0,0.333333,1.0,identity,1.0,0.19999999999999996,0,0
aa-lcr/aa-lcr/aa-lcr-34,10,6,0.375,0.76,0.32,0.9,0.65,1.0,0.0,1.0,identity,0.9,0.35,0,0
aa-lcr/aa-lcr/aa-lcr-35,10,6,0.375,0.66,0.38,0.8,0.3,1.0,0.0,1.0,identity,0.8,0.7,0,0
aa-lcr/aa-lcr/aa-lcr-36,10,6,0.375,0.74,0.3352610922848042,0.9,0.5,1.0,0.0,1.0,identity,0.9,0.5,0,0
aa-lcr/aa-lcr/aa-lcr-37,9,7,0.4375,0.7703703333333335,0.2333040063874696,0.8,0.8,1.0,0.333333,1.0,identity,0.8,0.19999999999999996,0,0
aa-lcr/aa-lcr/aa-lcr-38,9,7,0.4375,0.1111111111111111,0.16629588385661961,0.0,0.0,0.2,0.0,0.4,identity,0.0,0.2,0,0
aa-lcr/aa-lcr/aa-lcr-39,10,6,0.375,0.82,0.3026549190084311,1.0,0.8,1.0,0.0,1.0,identity,1.0,0.19999999999999996,0,0
aa-lcr/aa-lcr/aa-lcr-4,10,6,0.375,0.77,0.31,0.9,0.65,1.0,0.0,1.0,identity,0.9,0.35,0,0
aa-lcr/aa-lcr/aa-lcr-40,10,6,0.375,0.22000000000000003,0.24413111231467408,0.2,0.0,0.35000000000000003,0.0,0.8,identity,0.2,0.35000000000000003,0,0
aa-lcr/aa-lcr/aa-lcr-41,10,6,0.375,0.8400000000000001,0.21071307505705478,1.0,0.65,1.0,0.5,1.0,identity,1.0,0.35,0,0
aa-lcr/aa-lcr/aa-lcr-42,10,6,0.375,0.72,0.3919183588453085,1.0,0.6,1.0,0.0,1.0,identity,1.0,0.4,0,0
aa-lcr/aa-lcr/aa-lcr-43,10,6,0.375,0.72,0.31240998703626616,0.8,0.6,1.0,0.0,1.0,identity,0.8,0.4,0,0
aa-lcr/aa-lcr/aa-lcr-44,10,6,0.375,0.22000000000000003,0.2891366458960192,0.2,0.0,0.2,0.0,1.0,identity,0.2,0.2,0,0
aa-lcr/aa-lcr/aa-lcr-45,10,6,0.375,0.7333333000000001,0.31832901218709236,0.8,0.65,1.0,0.0,1.0,identity,0.8,0.35,0,0
aa-lcr/aa-lcr/aa-lcr-46,10,6,0.375,0.7,0.382099463490856,0.9,0.35000000000000003,1.0,0.0,1.0,identity,0.9,0.6499999999999999,0,0
aa-lcr/aa-lcr/aa-lcr-47,10,6,0.375,0.5449999999999999,0.3538714455844099,0.6,0.2875,0.8,0.0,1.0,identity,0.6,0.5125000000000001,0,0
aa-lcr/aa-lcr/aa-lcr-48,10,6,0.375,0.6849999999999999,0.4062326919389921,0.9,0.3875,1.0,0.0,1.0,identity,0.9,0.6125,0,0
aa-lcr/aa-lcr/aa-lcr-49,9,7,0.4375,0.17777777777777778,0.2897423291201177,0.0,0.0,0.2,0.0,0.8,identity,0.0,0.2,0,0
aa-lcr/aa-lcr/aa-lcr-5,10,6,0.375,0.5,0.3714835124201342,0.5,0.2,0.8,0.0,1.0,identity,0.5,0.6000000000000001,0,0
aa-lcr/aa-lcr/aa-lcr-50,9,7,0.4375,0.7111111111111111,0.3281071791162978,0.8,0.6,1.0,0.0,1.0,identity,0.8,0.4,0,0
aa-lcr/aa-lcr/aa-lcr-51,10,6,0.375,0.72,0.33704599092705434,0.8,0.65,1.0,0.0,1.0,identity,0.8,0.35,0,0
aa-lcr/aa-lcr/aa-lcr-52,10,6,0.375,0.38,0.3627671429443411,0.4,0.0,0.7000000000000001,0.0,1.0,identity,0.4,0.7000000000000001,0,0
aa-lcr/aa-lcr/aa-lcr-53,10,6,0.375,0.7466667,0.3562770382721991,1.0,0.61666675,1.0,0.0,1.0,identity,1.0,0.38333324999999996,0,0
aa-lcr/aa-lcr/aa-lcr-54,10,6,0.375,0.7933332999999999,0.3312602662560211,1.0,0.8,1.0,0.0,1.0,identity,1.0,0.19999999999999996,0,0
