task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count
aa-lcr/aa-lcr/aa-lcr-1,aa-lcr,aa-lcr/aa-lcr-1,9,7,0.4375,0.911111111111111,0.09938079899999064,0.8,1.0,0.95,-0.25,0.4330127018922193,-0.1490711270533881,easy,0,0
aa-lcr/aa-lcr/aa-lcr-10,aa-lcr,aa-lcr/aa-lcr-10,9,7,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-100,aa-lcr,aa-lcr/aa-lcr-100,9,7,0.4375,0.6444444444444444,0.20608041101101565,0.4,1.0,0.625,0.06250000000000004,0.3903123748998999,0.041345017893707786,medium,0,0
aa-lcr/aa-lcr/aa-lcr-11,aa-lcr,aa-lcr/aa-lcr-11,10,6,0.375,0.6599999999999999,0.31048349392520047,0.0,1.0,0.675,-0.04999999999999992,0.4924428900898053,-0.026216072090401738,medium,0,0
aa-lcr/aa-lcr/aa-lcr-12,aa-lcr,aa-lcr/aa-lcr-12,10,6,0.375,0.765,0.2846489065498056,0.25,1.0,0.815625,-0.16875,0.4686666592579421,-0.09296804177403616,easy,0,0
aa-lcr/aa-lcr/aa-lcr-13,aa-lcr,aa-lcr/aa-lcr-13,9,7,0.4375,0.8222222222222223,0.17497795275581804,0.6,1.0,0.8125,0.03124999999999995,0.32923917977664807,0.02450728133205279,easy,0,0
aa-lcr/aa-lcr/aa-lcr-14,aa-lcr,aa-lcr/aa-lcr-14,10,6,0.375,0.86,0.3104834939252004,0.0,1.0,0.9125,-0.28181852405036356,0.8201542588432712,-0.08872129114104689,easy,0,0
aa-lcr/aa-lcr/aa-lcr-15,aa-lcr,aa-lcr/aa-lcr-15,10,6,0.375,0.48,0.2993325909419153,0.0,1.0,0.45,0.09999999999999998,0.47958315233127197,0.053838273097294324,medium,0,0
aa-lcr/aa-lcr/aa-lcr-16,aa-lcr,aa-lcr/aa-lcr-16,10,6,0.375,0.5599999999999999,0.33226495451672294,0.0,1.0,0.575,-0.045454545454545414,0.4788933524023972,-0.024506980066351502,medium,0,0
aa-lcr/aa-lcr/aa-lcr-17,aa-lcr,aa-lcr/aa-lcr-17,9,7,0.4375,0.6370370000000001,0.36799239644439513,0.2,1.0,0.7083333125,-0.11458335937500005,0.35948824076373626,-0.08229821721209252,easy,0,0
aa-lcr/aa-lcr/aa-lcr-18,aa-lcr,aa-lcr/aa-lcr-18,9,7,0.4375,0.044444444444444446,0.08314794192830981,0.0,0.2,0.025,0.30066889715147743,0.795495128834866,0.09759003720297879,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-19,aa-lcr,aa-lcr/aa-lcr-19,10,6,0.375,0.6399999999999999,0.4363484845854286,0.0,1.0,0.7375,-0.19117647058823534,0.43201267122259945,-0.11425929001904901,easy,0,0
aa-lcr/aa-lcr/aa-lcr-20,aa-lcr,aa-lcr/aa-lcr-20,10,6,0.375,0.6599999999999999,0.41036569057366384,0.0,1.0,0.75,-0.2142857142857143,0.4922874554317937,-0.11239007573530435,easy,0,0
aa-lcr/aa-lcr/aa-lcr-21,aa-lcr,aa-lcr/aa-lcr-21,10,6,0.375,0.68,0.41182520563948005,0.0,1.0,0.7625,-0.21153846153846156,0.5270072925401816,-0.10363972694186373,easy,0,0
aa-lcr/aa-lcr/aa-lcr-22,aa-lcr,aa-lcr/aa-lcr-22,10,6,0.375,0.02,0.06,0.0,0.2,0.0125,0.20833333333333334,0.8068715304598785,0.06666664008599384,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-23,aa-lcr,aa-lcr/aa-lcr-23,8,8,0.5,0.775,0.21065374432940895,0.4,1.0,0.7875000000000001,-0.03125000000000002,0.3736956482219187,-0.021591518311891756,easy,0,0
aa-lcr/aa-lcr/aa-lcr-24,aa-lcr,aa-lcr/aa-lcr-24,9,7,0.4375,0.28888888888888886,0.34138425546082707,0.0,1.0,0.25,0.08333333333333336,0.4330127018922194,0.04969030367709878,hard,0,0
aa-lcr/aa-lcr/aa-lcr-25,aa-lcr,aa-lcr/aa-lcr-25,10,6,0.375,0.12,0.20396078054371142,0.0,0.6,0.075,0.49999999999999994,1.1426091000668406,0.11298646775359622,hard,0,0
aa-lcr/aa-lcr/aa-lcr-26,aa-lcr,aa-lcr/aa-lcr-26,10,6,0.375,0.02,0.06,0.0,0.2,0.0125,0.20833333333333334,0.8068715304598785,0.06666672474680715,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-27,aa-lcr,aa-lcr/aa-lcr-27,10,6,0.375,0.5000000000000001,0.4404543109109048,0.0,1.0,0.4625,0.06578947368421051,0.3700621344848745,0.0459026280934209,medium,0,0
aa-lcr/aa-lcr/aa-lcr-28,aa-lcr,aa-lcr/aa-lcr-28,10,6,0.375,0.66,0.4103656905736638,0.0,1.0,0.75,-0.2142857142857143,0.4922874554317937,-0.11239010160884497,easy,0,0
aa-lcr/aa-lcr/aa-lcr-29,aa-lcr,aa-lcr/aa-lcr-29,10,6,0.375,0.6,0.4381780460041329,0.0,1.0,0.675,-0.13888888888888895,0.39965262694272663,-0.08973011037212067,medium,0,0
aa-lcr/aa-lcr/aa-lcr-3,aa-lcr,aa-lcr/aa-lcr-3,10,6,0.375,0.6,0.4289522117905444,0.0,1.0,0.675,-0.13888888888888895,0.39185377721294123,-0.09151598091749498,medium,0,0
aa-lcr/aa-lcr/aa-lcr-30,aa-lcr,aa-lcr/aa-lcr-30,10,6,0.375,0.02,0.06,0.0,0.2,0.0125,0.20833333333333334,0.8068715304598785,0.06666664008599384,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-31,aa-lcr,aa-lcr/aa-lcr-31,9,7,0.4375,0.9555555555555555,0.0831479419283098,0.8,1.0,0.975,-0.30066889715147743,0.795495128834866,-0.09758985798782871,saturated,0,0
aa-lcr/aa-lcr/aa-lcr-32,aa-lcr,aa-lcr/aa-lcr-32,10,6,0.375,0.68,0.34871191548325386,0.0,1.0,0.7250000000000001,-0.1363636363636364,0.5122467122538474,-0.06873414495108374,easy,0,0
aa-lcr/aa-lcr/aa-lcr-33,aa-lcr,aa-lcr/aa-lcr-33,10,6,0.375,0.8333332999999999,0.24630611035865513,0.333333,1.0,0.8958333125,-0.5208334375000001,1.053886933817379,-0.12760237848303257,easy,0,0
aa-lcr/aa-lcr/aa-lcr-34,aa-lcr,aa-lcr/aa-lcr-34,10,6,0.375,0.76,0.32,0.0,1.0,0.8125,-0.25000000000000006,0.7482973871341774,-0.08626196290937128,easy,0,0
aa-lcr/aa-lcr/aa-lcr-35,aa-lcr,aa-lcr/aa-lcr-35,10,6,0.375,0.66,0.38,0.0,1.0,0.7125,-0.1250000000000001,0.4399530355269614,-0.07335956604469812,easy,0,0
aa-lcr/aa-lcr/aa-lcr-36,aa-lcr,aa-lcr/aa-lcr-36,10,6,0.375,0.74,0.3352610922848042,0.0,1.0,0.7999999999999999,-0.2,0.552268050859363,-0.09350471787297732,easy,0,0
aa-lcr/aa-lcr/aa-lcr-37,aa-lcr,aa-lcr/aa-lcr-37,9,7,0.4375,0.7703703333333335,0.2333040063874696,0.333333,1.0,0.7833333125000002,-0.08333343750000008,0.8779714130218003,-0.02450712826611146,easy,0,0
aa-lcr/aa-lcr/aa-lcr-38,aa-lcr,aa-lcr/aa-lcr-38,9,7,0.4375,0.1111111111111111,0.16629588385661961,0.0,0.4,0.0625,0.3125,0.6817945071647321,0.11834514578274517,hard,0,0
aa-lcr/aa-lcr/aa-lcr-39,aa-lcr,aa-lcr/aa-lcr-39,10,6,0.375,0.82,0.3026549190084311,0.0,1.0,0.8875,-0.5625000000000001,1.2732217992164603,-0.11407019061350307,easy,0,0
aa-lcr/aa-lcr/aa-lcr-4,aa-lcr,aa-lcr/aa-lcr-4,10,6,0.375,0.77,0.31,0.0,1.0,0.81875,-0.2321428571428572,0.7229386599998986,-0.08291016537766133,easy,0,0
aa-lcr/aa-lcr/aa-lcr-40,aa-lcr,aa-lcr/aa-lcr-40,10,6,0.375,0.22000000000000003,0.24413111231467408,0.0,0.8,0.21250000000000002,0.03571428571428571,0.5521294583478681,0.016701481379661487,hard,0,0
aa-lcr/aa-lcr/aa-lcr-41,aa-lcr,aa-lcr/aa-lcr-41,10,6,0.375,0.8400000000000001,0.21071307505705478,0.5,1.0,0.9,-0.28571428571428575,0.5248906591678238,-0.14054549547807788,easy,0,0
aa-lcr/aa-lcr/aa-lcr-42,aa-lcr,aa-lcr/aa-lcr-42,10,6,0.375,0.72,0.3919183588453085,0.0,1.0,0.825,-0.4375,0.8454843286542927,-0.13360613001808158,easy,0,0
aa-lcr/aa-lcr/aa-lcr-43,aa-lcr,aa-lcr/aa-lcr-43,10,6,0.375,0.72,0.31240998703626616,0.0,1.0,0.75,-0.12500000000000003,0.625,-0.05163962177639192,easy,0,0
aa-lcr/aa-lcr/aa-lcr-44,aa-lcr,aa-lcr/aa-lcr-44,10,6,0.375,0.22000000000000003,0.2891366458960192,0.0,1.0,0.21250000000000002,0.0625,1.1439378261076953,0.014107027774442317,hard,0,0
aa-lcr/aa-lcr/aa-lcr-45,aa-lcr,aa-lcr/aa-lcr-45,10,6,0.375,0.7333333000000001,0.31832901218709236,0.0,1.0,0.7583333125,-0.11904767857142867,0.7249209257839845,-0.04240159527718337,easy,0,0
aa-lcr/aa-lcr/aa-lcr-46,aa-lcr,aa-lcr/aa-lcr-46,10,6,0.375,0.7,0.382099463490856,0.0,1.0,0.775,-0.19230769230769235,0.4880222130942124,-0.10174450587213109,easy,0,0
aa-lcr/aa-lcr/aa-lcr-47,aa-lcr,aa-lcr/aa-lcr-47,10,6,0.375,0.5449999999999999,0.3538714455844099,0.0,1.0,0.565625,-0.06707317073170727,0.5483399315637091,-0.03158300580435777,medium,0,0
aa-lcr/aa-lcr/aa-lcr-48,aa-lcr,aa-lcr/aa-lcr-48,10,6,0.375,0.6849999999999999,0.4062326919389921,0.0,1.0,0.765625,-0.21938775510204084,0.5511857272787928,-0.10277034994404009,easy,0,0
aa-lcr/aa-lcr/aa-lcr-49,aa-lcr,aa-lcr/aa-lcr-49,9,7,0.4375,0.17777777777777778,0.2897423291201177,0.0,0.8,0.1,0.5,1.1726039399558574,0.11009640360533723,hard,0,0
aa-lcr/aa-lcr/aa-lcr-5,aa-lcr,aa-lcr/aa-lcr-5,10,6,0.375,0.5,0.3714835124201342,0.0,1.0,0.5,1.3877787807814457e-17,0.4894725051862804,1.8790442201836514e-07,medium,0,0
aa-lcr/aa-lcr/aa-lcr-50,aa-lcr,aa-lcr/aa-lcr-50,9,7,0.4375,0.7111111111111111,0.3281071791162978,0.0,1.0,0.75,-0.12500000000000003,0.625,-0.05163972592543019,easy,0,0
aa-lcr/aa-lcr/aa-lcr-51,aa-lcr,aa-lcr/aa-lcr-51,10,6,0.375,0.72,0.33704599092705434,0.0,1.0,0.75,-0.14285714285714296,0.7693092581620722,-0.047946184014472384,easy,0,0
aa-lcr/aa-lcr/aa-lcr-52,aa-lcr,aa-lcr/aa-lcr-52,10,6,0.375,0.38,0.3627671429443411,0.0,1.0,0.3875,-0.017857142857142863,0.4099371529731784,-0.011247149652806786,medium,0,0
aa-lcr/aa-lcr/aa-lcr-53,aa-lcr,aa-lcr/aa-lcr-53,10,6,0.375,0.7466667,0.3562770382721991,0.0,1.0,0.8416666875,-0.4130435137051117,0.8014048646142089,-0.133075351855687,easy,0,0
aa-lcr/aa-lcr/aa-lcr-54,aa-lcr,aa-lcr/aa-lcr-54,10,6,0.375,0.7933332999999999,0.3312602662560211,0.0,1.0,0.8708333125000001,-0.6458334375000001,1.4017290429665772,-0.11896261153365188,easy,0,0
aa-lcr/aa-lcr/aa-lcr-55,aa-lcr,aa-lcr/aa-lcr-55,10,6,0.375,0.65,0.3827531841800928,0.0,1.0,0.70625,-0.1630434782608696,0.5411908384567219,-0.07778684896516135,easy,0,0
aa-lcr/aa-lcr/aa-lcr-56,aa-lcr,aa-lcr/aa-lcr-56,10,6,0.375,0.755,0.3197264455749634,0.0,1.0,0.809375,-0.25,0.7236759610155113,-0.08919686496583919,easy,0,0
aa-lcr/aa-lcr/aa-lcr-57,aa-lcr,aa-lcr/aa-lcr-57,10,6,0.375,0.96,0.12,0.6,1.0,0.975,-0.20833333333333334,0.8068715304598785,-0.06666645591678179,saturated,0,0
aa-lcr/aa-lcr/aa-lcr-58,aa-lcr,aa-lcr/aa-lcr-58,10,6,0.375,0.8,0.322490309931942,0.0,1.0,0.875,-0.6250000000000001,1.3635890143294644,-0.11834513821801426,easy,0,0
aa-lcr/aa-lcr/aa-lcr-59,aa-lcr,aa-lcr/aa-lcr-59,10,6,0.375,0.545,0.3965160778581368,0.0,1.0,0.565625,-0.04661016949152551,0.42657939459242045,-0.02821189195660071,medium,0,0
aa-lcr/aa-lcr/aa-lcr-6,aa-lcr,aa-lcr/aa-lcr-6,9,7,0.4375,0.8055555555555556,0.31661792997277793,0.2,1.0,0.890625,-0.5468750000000001,1.2815357912969114,-0.11018209274715035,easy,0,0
aa-lcr/aa-lcr/aa-lcr-60,aa-lcr,aa-lcr/aa-lcr-60,10,6,0.375,0.025,0.07500000000000001,0.0,0.25,0.015625,0.20833333333333331,0.8068715304598784,0.06666664008599386,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-61,aa-lcr,aa-lcr/aa-lcr-61,10,6,0.375,0.775,0.242126000256065,0.25,1.0,0.784375,-0.04464285714285722,0.5479990270734697,-0.02103410407815416,easy,0,0
aa-lcr/aa-lcr/aa-lcr-62,aa-lcr,aa-lcr/aa-lcr-62,10,6,0.375,0.6399999999999999,0.26532998322843204,0.0,1.0,0.625,0.16666666666666669,1.404358295529393,0.03064266231069521,medium,0,0
aa-lcr/aa-lcr/aa-lcr-63,aa-lcr,aa-lcr/aa-lcr-63,10,6,0.375,0.6050000000000001,0.27608875384557047,0.2,1.0,0.603125,0.007812500000000028,0.545701866721885,0.0036966108697881754,medium,0,0
aa-lcr/aa-lcr/aa-lcr-64,aa-lcr,aa-lcr/aa-lcr-64,10,6,0.375,0.7866666999999999,0.32496152387630445,0.0,1.0,0.8666666875,-0.4444447453706211,0.9229589259626011,-0.12433375836414542,easy,0,0
aa-lcr/aa-lcr/aa-lcr-65,aa-lcr,aa-lcr/aa-lcr-65,10,6,0.375,0.8133333,0.22271064635533253,0.333333,1.0,0.8458333124999999,-0.15476196428571434,0.5171384216134949,-0.07726998354801241,easy,0,0
aa-lcr/aa-lcr/aa-lcr-66,aa-lcr,aa-lcr/aa-lcr-66,10,6,0.375,0.5599999999999999,0.4543126676640219,0.0,1.0,0.6125,-0.09210526315789472,0.38474188203193277,-0.06181135076289656,medium,0,0
aa-lcr/aa-lcr/aa-lcr-67,aa-lcr,aa-lcr/aa-lcr-67,10,6,0.375,0.46666670000000005,0.3829708605103135,0.0,0.8,0.56666675,-0.20833343750000005,0.4114254153499144,-0.13074417833838195,medium,0,0
aa-lcr/aa-lcr/aa-lcr-68,aa-lcr,aa-lcr/aa-lcr-68,9,7,0.4375,0.8666666666666667,0.2666666666666667,0.2,1.0,0.925,-0.28124999999999994,0.7899515412352834,-0.09192769062645845,easy,0,0
aa-lcr/aa-lcr/aa-lcr-69,aa-lcr,aa-lcr/aa-lcr-69,10,6,0.375,0.64,0.32,0.0,1.0,0.6625,-0.06818181818181812,0.46298974516962194,-0.038023610275224086,medium,0,0
aa-lcr/aa-lcr/aa-lcr-7,aa-lcr,aa-lcr/aa-lcr-7,10,6,0.375,0.5599999999999999,0.4363484845854286,0.0,1.0,0.6125,-0.09210526315789472,0.3700621344848745,-0.06426327474894761,medium,0,0
aa-lcr/aa-lcr/aa-lcr-70,aa-lcr,aa-lcr/aa-lcr-70,10,6,0.375,0.8200000000000001,0.24413111231467408,0.2,1.0,0.85,-0.2500000000000001,0.9842509842514766,-0.0655824058932805,easy,0,0
aa-lcr/aa-lcr/aa-lcr-71,aa-lcr,aa-lcr/aa-lcr-71,10,6,0.375,0.44000000000000006,0.47159304490206383,0.0,1.0,0.35,0.15000000000000002,0.39051248379533277,0.09917707255283498,medium,0,0
aa-lcr/aa-lcr/aa-lcr-72,aa-lcr,aa-lcr/aa-lcr-72,10,6,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-73,aa-lcr,aa-lcr/aa-lcr-73,10,6,0.375,0.16,0.332264954516723,0.0,1.0,0.1,0.300964632714423,0.8242255917447338,0.09428098277597785,hard,0,0
aa-lcr/aa-lcr/aa-lcr-74,aa-lcr,aa-lcr/aa-lcr-74,10,6,0.375,0.76,0.29393876913398137,0.0,1.0,0.775,-0.07142857142857154,0.6662413609349155,-0.027681665429420094,easy,0,0
aa-lcr/aa-lcr/aa-lcr-75,aa-lcr,aa-lcr/aa-lcr-75,9,7,0.4375,0.8222222222222223,0.2897423291201177,0.2,1.0,0.8999999999999999,-0.5,1.1726039399558577,-0.11009620118954094,easy,0,0
aa-lcr/aa-lcr/aa-lcr-76,aa-lcr,aa-lcr/aa-lcr-76,9,7,0.4375,0.6777777777777778,0.2897423291201177,0.2,1.0,0.73125,-0.11458333333333337,0.3760113676620843,-0.07868192899466413,easy,0,0
aa-lcr/aa-lcr/aa-lcr-77,aa-lcr,aa-lcr/aa-lcr-77,10,6,0.375,0.7,0.4219004621945798,0.0,1.0,0.8125,-0.28846153846153855,0.5596781619559712,-0.1330770948579716,easy,0,0
aa-lcr/aa-lcr/aa-lcr-78,aa-lcr,aa-lcr/aa-lcr-78,10,6,0.375,0.02,0.06,0.0,0.2,0.0125,0.20833333333333334,0.8068715304598785,0.06666667754857866,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-79,aa-lcr,aa-lcr/aa-lcr-79,10,6,0.375,0.7,0.4219004621945797,0.0,1.0,0.8125,-0.28846153846153855,0.5596781619559712,-0.13307708806793442,easy,0,0
aa-lcr/aa-lcr/aa-lcr-8,aa-lcr,aa-lcr/aa-lcr-8,10,6,0.375,0.6399999999999999,0.32,0.0,1.0,0.625,0.07142857142857148,0.7249208260780157,0.025441154298359435,medium,0,0
aa-lcr/aa-lcr/aa-lcr-80,aa-lcr,aa-lcr/aa-lcr-80,10,6,0.375,0.1133333,0.19561863919373837,0.0,0.6,0.0708333125,0.47222208333333326,1.0939647037946136,0.11145430045265649,hard,0,0
aa-lcr/aa-lcr/aa-lcr-81,aa-lcr,aa-lcr/aa-lcr-81,9,7,0.4375,0.15555555555555556,0.1257078722109418,0.0,0.4,0.17500000000000002,-0.125,0.4841229182759271,-0.06666686052458379,hard,0,0
aa-lcr/aa-lcr/aa-lcr-82,aa-lcr,aa-lcr/aa-lcr-82,10,6,0.375,0.8733333,0.20099760197576985,0.333333,1.0,0.9208333125,-0.39583343750000005,0.8516225858007739,-0.12001046042937963,easy,0,0
aa-lcr/aa-lcr/aa-lcr-83,aa-lcr,aa-lcr/aa-lcr-83,10,6,0.375,0.9266667,0.1171892315872495,0.666667,1.0,0.9541666875,-0.30555541666666686,0.6614374253040739,-0.11927651413361325,saturated,0,0
aa-lcr/aa-lcr/aa-lcr-84,aa-lcr,aa-lcr/aa-lcr-84,9,7,0.4375,0.7555555555555556,0.2793290019994785,0.2,1.0,0.775,-0.06250000000000006,0.5266343608235224,-0.030642460985660383,easy,0,0
aa-lcr/aa-lcr/aa-lcr-85,aa-lcr,aa-lcr/aa-lcr-85,10,6,0.375,0.7,0.3492849839314596,0.0,1.0,0.7375,-0.12500000000000006,0.5606915373001451,-0.05756239593454107,easy,0,0
aa-lcr/aa-lcr/aa-lcr-86,aa-lcr,aa-lcr/aa-lcr-86,10,6,0.375,0.16,0.17435595774162696,0.0,0.4,0.1375,0.10714285714285715,0.40247955962802306,0.06873444321470558,hard,0,0
aa-lcr/aa-lcr/aa-lcr-87,aa-lcr,aa-lcr/aa-lcr-87,10,6,0.375,0.13999999999999999,0.18,0.0,0.6,0.125,0.125,0.7180703308172536,0.04494673188912062,hard,0,0
aa-lcr/aa-lcr/aa-lcr-88,aa-lcr,aa-lcr/aa-lcr-88,10,6,0.375,0.44000000000000006,0.36660605559646725,0.0,1.0,0.3875,0.15909090909090906,0.541176404535939,0.07590348418088443,medium,0,0
