selection_rank,selection_stage,selection_reason,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
1,representative_base,base_representative;unique_unpredictable;high_composite,bfcl,bfcl-live-simple-123-79-0,bfcl/bfcl-live-simple-123-79-0,base_representative;unique_unpredictable;high_composite,0.8673825322812051,0.9673825322812051,medium,0.5625,1.0,0.9411764705882353,0.943089430894309,16,0.4375,0.4375,0.401364858950058,0.1527844187346635,0.23701165946696812,0.35056353632240256,1.0,7.0,1.0,True,False,False,True,True
2,representative_base,base_representative;unique_unpredictable;high_composite,kumo,chemicalenv-t12-a16-v1-s0,kumo/chemicalenv-t12-a16-v1-s0,base_representative;unique_unpredictable;high_composite,0.7719724682325759,0.871972468232576,easy,0.25,1.0,0.8520408163265306,0.9764150943396226,16,0.75,0.75,0.3427827300200522,-0.1883106859644253,0.28794983224261866,0.08306559514106904,1.0,30.0,5.0,True,False,False,True,True
3,representative_base,base_representative;unique_unpredictable;high_composite,codepde,codepde-burgers,codepde/codepde-burgers,base_representative;unique_unpredictable;high_composite,0.7645833333333333,0.8645833333333333,medium,0.525,0.6666666666666666,1.0,1.0,16,0.475,0.475,0.3799671038392666,0.1868706906954584,0.1546792788611608,0.5453421958433148,2.0,1.0,1.0,True,False,False,True,True
4,representative_base,base_representative;high_composite,scicode,scicode-8,scicode/scicode-8,base_representative;high_composite,0.8024305555555555,0.8624305555555556,medium,0.48750000000000004,1.0,0.7222222222222222,1.0,16,0.5125,0.5125,0.4580870550452174,0.2888686946312527,0.34588813877945035,0.1527007044305314,1.0,21.0,1.0,True,False,False,False,True
5,representative_base,base_representative;unique_unpredictable;high_composite,humanevalfix,python-108,humanevalfix/python-108,base_representative;unique_unpredictable;high_composite,0.7423325364098965,0.8423325364098966,easy,0.08750000000000002,0.9928057553956835,0.9028776978417267,0.9817073170731707,16,0.9125,0.9125,0.2446298223847615,-0.0923531943057493,0.24258418487952704,0.0021574103046425597,2.0,15.0,4.0,True,False,False,True,True
6,representative_base,base_representative;unique_unpredictable;high_composite,humanevalfix,python-83,humanevalfix/python-83,base_representative;unique_unpredictable;high_composite,0.7367564484997368,0.8367564484997367,easy,0.07499999999999996,1.0,0.8884892086330936,0.9725609756097561,16,0.925,0.925,0.243669858620224,-0.0794717256427599,0.2428999790909991,0.0011939793605846294,1.0,17.0,5.0,True,False,False,True,True
7,representative_base,base_representative;high_composite,seal0,0,seal0/0,base_representative;high_composite,0.7689443475733797,0.8289443475733798,medium,0.65,0.989247311827957,0.44623655913978494,0.990990990990991,16,0.35,0.35,0.4609772228646444,0.1960393233316911,0.3290619596722262,0.18651078318003933,2.0,52.0,1.0,True,False,False,False,True
8,representative_base,base_representative;high_composite,spider2,f1002,spider2/f1002,base_representative;high_composite,0.7671006944444443,0.8271006944444443,medium,0.575,0.9722222222222222,0.5416666666666666,0.984375,16,0.425,0.425,0.4351723796382303,0.1334983850976027,0.3604911491775483,0.18335284632204696,2.0,17.0,1.0,True,False,False,False,True
9,representative_base,base_representative;difficult;high_composite,replicationbench,trgb_std_candle__fit_aseq_bseq,replicationbench/trgb_std_candle__fit_aseq_bseq,base_representative;difficult;high_composite,0.720295358649789,0.820295358649789,hard,0.8,0.9873417721518988,0.14556962025316456,0.9222222222222223,16,0.2,0.2,0.3872983346207417,0.1333334437409544,0.34994050591172216,0.02047540176971252,2.0,69.0,7.0,True,True,False,False,True
10,representative_base,base_representative;high_composite,pixiu,pixiu-german-german000002,pixiu/pixiu-german-german000002,base_representative;high_composite,0.7348028177802067,0.7948028177802067,medium,0.4791666875,1.0,0.4759036144578313,0.973568281938326,15,0.5208333125,0.5155555333333334,0.456373258757181,0.3040068116481123,0.30723622015587154,0.10493975272631695,1.0,44.0,4.0,True,False,False,False,True
