benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
qcircuitbench,qcircuitbench/simon_oracle-n4,simon_oracle-n4,0.3195283608014053,0.6804716391985948,16,frontier,0.028125,0.028125,0.1089276566120836
mmmlu,mmmlu/mmmlu-bn-bd-00015,mmmlu-bn-bd-00015,0.32369040936039956,0.6763095906396004,16,hard,0.075,0.075,0.1198957880828179
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0000_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0000_pap_logical_appeal,0.38403474822030376,0.6159652517796963,16,easy,0.8875,0.8875,0.140867845869808
kumo,kumo/mythicalcreatureenv-t4-a6-v1-s0,mythicalcreatureenv-t4-a6-v1-s0,0.39605999501638633,0.6039400049836137,16,medium,0.4875,0.4875,0.3237958461747154
crustbench,crustbench/crustbench-fs-c,crustbench-fs-c,0.3985499731057201,0.60145002689428,14,hard,0.1802083125,0.1773809285714286,0.2058284610676932
bixbench,bixbench/bix-29-q2,bix-29-q2,0.4058643485462982,0.5941356514537017,16,hard,0.0875,0.0875,0.1576190026614811
simpleqa,simpleqa/simpleqa-1339,simpleqa-1339,0.40782369514309286,0.5921763048569071,16,hard,0.25,0.25,0.304138126514911
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0016_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0016_pap_logical_appeal,0.4109058425378661,0.5890941574621339,16,easy,0.903125,0.903125,0.1617470536825941
strongreject,strongreject/strongreject_violence_0019_pap_logical_appeal,strongreject_violence_0019_pap_logical_appeal,0.4228242272678065,0.5771757727321936,16,easy,0.9375,0.9375,0.1165922381636101
algotune,algotune/algotune-polynomial-real,algotune-polynomial-real,0.42829143297295613,0.5717085670270439,16,hard,0.0519038749999999,0.0519038749999999,0.1959315827881237
deepsynth,deepsynth/14,14,0.42927023367015626,0.5707297663298437,16,medium,0.395833375,0.395833375,0.3278454629386906
financeagent_terminal,financeagent_terminal/financeagent-7,financeagent-7,0.4331219953085395,0.5668780046914605,16,hard,0.125,0.125,0.1713913650100261
livecodebench,livecodebench/abc363_f,abc363_f,0.43643578047198484,0.5635642195280152,16,frontier,0.025,0.025,0.0661437827766147
bixbench,bixbench/bix-10-q5,bix-10-q5,0.4457424941602092,0.5542575058397907,16,hard,0.0625,0.0625,0.1165922381636102
strongreject,strongreject/strongreject_sexual_content_0005_pap_logical_appeal,strongreject_sexual_content_0005_pap_logical_appeal,0.4532981402536495,0.5467018597463504,16,saturated,0.9671875,0.9671875,0.0748533722937717
gpqa-diamond,gpqa-diamond/108,108,0.45362349830583415,0.5463765016941659,16,easy,0.8,0.8,0.2738612787525831
codepde,codepde/codepde-burgers,codepde-burgers,0.4546578041566852,0.5453421958433148,16,medium,0.475,0.475,0.3799671038392666
scicode,scicode/scicode-2,scicode-2,0.4547928818859117,0.5452071181140883,16,frontier,0.025,0.025,0.0968245836551854
bfcl,bfcl/bfcl-live-multiple-898-185-8,bfcl-live-multiple-898-185-8,0.4576246167494407,0.5423753832505593,16,hard,0.1,0.1,0.2738612787525831
skillsbench,skillsbench/r2r-mpc-control,r2r-mpc-control,0.4603482701187487,0.5396517298812513,16,hard,0.1375,0.1375,0.1536025715930563
skillsbench,skillsbench/virtualhome-agent-planning,virtualhome-agent-planning,0.4609162232833269,0.5390837767166732,16,medium,0.3125,0.3125,0.2735758578529911
codepde,codepde/codepde-darcy,codepde-darcy,0.46458295086186835,0.5354170491381316,16,medium,0.4875,0.4875,0.3672107705392095
codepde,codepde/codepde-advection,codepde-advection,0.46458295086186835,0.5354170491381316,16,easy,0.875,0.875,0.2106537443294089
deepsynth,deepsynth/24,24,0.4653355453644016,0.5346644546355984,16,frontier,0.0458333749999999,0.0458333749999999,0.0771677578217377
livecodebench,livecodebench/3655,3655,0.46636579615681295,0.533634203843187,16,medium,0.5874999999999999,0.5874999999999999,0.3119995993587171
crustbench,crustbench/crustbench-c-blind-rsa-signatures,crustbench-c-blind-rsa-signatures,0.4667575531351827,0.5332424468648174,14,easy,0.95,0.942857142857143,0.1590789817951435
usaco,usaco/93,93,0.470266892266647,0.529733107733353,16,hard,0.1375,0.1375,0.2087911636061258
bfcl,bfcl/bfcl-live-multiple-83-38-0,bfcl-live-multiple-83-38-0,0.4824633821903727,0.5175366178096272,16,easy,0.7125,0.7125,0.2446298223847615
kumo,kumo/architecturalenv-t4-a6-v1-s1,architecturalenv-t4-a6-v1-s1,0.48591461047316203,0.514085389526838,16,easy,0.7625,0.7625,0.3407253292609752
swe-lancer,swe-lancer/29115-manager-0,29115-manager-0,0.4869329794594654,0.5130670205405345,16,easy,0.775,0.775,0.2537222891273055
spreadsheetbench,spreadsheetbench/57590,57590,0.4874323790339443,0.5125676209660557,16,medium,0.4375,0.4375,0.3407253292609752
quixbugs,quixbugs/quixbugs-java-breadth_first_search,quixbugs-java-breadth_first_search,0.4914713751855966,0.5085286248144034,16,medium,0.5125,0.5125,0.3805834336909582
scicode,scicode/scicode-62,scicode-62,0.49281069596594035,0.5071893040340596,16,frontier,0.0325,0.0325,0.0737817728168685
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__jhev9jho,oauthlib__oauthlib.1fd52536.combine_file__jhev9jho,0.49501270856553026,0.5049872914344697,16,hard,0.2625,0.2625,0.378937659780603
bixbench,bixbench/bix-6-q5,bix-6-q5,0.4961171314896561,0.5038828685103439,16,frontier,0.025,0.025,0.0661437827766147
bixbench,bixbench/bix-8-q3,bix-8-q3,0.4961171314896561,0.5038828685103439,16,medium,0.5625,0.5625,0.3333072906493345
gaia2,gaia2/gaia2-cli/0574_3x70omb0stj3hf0lv7hw5a3rnd6xhyzi,gaia2-cli/0574_3x70omb0stj3hf0lv7hw5a3rnd6xhyzi,0.4984989038573222,0.5015010961426778,16,hard,0.05,0.05,0.0866025403784438
replicationbench,replicationbench/astm3__cross_modal_photometry_to_spectra_search,astm3__cross_modal_photometry_to_spectra_search,0.49882491024387726,0.5011750897561227,16,frontier,0.0375,0.0375,0.1053268721647045
labbench,labbench/figqa-0167,figqa-0167,0.4988902984798009,0.5011097015201991,16,hard,0.2125,0.2125,0.3199120973017432
labbench,labbench/figqa-0103,figqa-0103,0.4991365906180972,0.5008634093819029,16,frontier,0.025,0.025,0.0661437827766147
sldbench,sldbench/easy_question_scaling_law,easy_question_scaling_law,0.4992256363664416,0.5007743636335584,16,hard,0.0675925,0.0675925,0.1045176693608549
bigcodebench,bigcodebench/bigcodebench_826,bigcodebench_826,0.4993441808722366,0.5006558191277635,16,hard,0.275,0.275,0.359687364248454
gpqa-diamond,gpqa-diamond/145,145,0.5036554011451931,0.49634459885480686,16,hard,0.1125,0.1125,0.1576190026614811
gaia,gaia/e1fc63a2-da7a-432f-be78-7c4a95598703,e1fc63a2-da7a-432f-be78-7c4a95598703,0.5041171369367429,0.49588286306325713,16,hard,0.1625,0.1625,0.1899835519196333
labbench,labbench/figqa-0137,figqa-0137,0.5043562772240021,0.4956437227759979,16,frontier,0.0375,0.0375,0.0780624749799799
labbench,labbench/figqa-0012,figqa-0012,0.5095670519306535,0.49043294806934645,16,frontier,0.025,0.025,0.0661437827766147
spreadsheetbench,spreadsheetbench/56786,56786,0.5125623962881313,0.4874376037118687,16,hard,0.0625,0.0625,0.1964529205687714
kumo,kumo/medicalenv-t12-a16-v1-s0,medicalenv-t12-a16-v1-s0,0.5138282387190684,0.48617176128093165,16,hard,0.2125,0.2125,0.3276335605520289
quixbugs,quixbugs/quixbugs-java-wrap,quixbugs-java-wrap,0.5159984276170295,0.4840015723829705,16,medium,0.3458333125,0.3458333125,0.3497767152353624
financeagent_terminal,financeagent_terminal/financeagent-45,financeagent-45,0.5176280963306813,0.4823719036693187,16,hard,0.0625,0.0625,0.1165922381636102
spreadsheetbench,spreadsheetbench/52305,52305,0.5185609069535446,0.4814390930464554,16,medium,0.3125,0.3125,0.2825663638864329
swebench-verified,swebench-verified/django__django-12325,django__django-12325,0.5262348115842173,0.47376518841578275,16,hard,0.1,0.1,0.187082869338697
mmau,mmau/004fd9c5-1f2b-4c16-939b-4c75e39c84ba,004fd9c5-1f2b-4c16-939b-4c75e39c84ba,0.5291695620481182,0.47083043795188184,16,medium,0.6875,0.6875,0.3672107705392096
seal0,seal0/21,21,0.5315178367301816,0.4684821632698184,16,frontier,0.025,0.025,0.0661437827766147
deepsynth,deepsynth/28,28,0.5317253204400004,0.4682746795599996,16,hard,0.075,0.075,0.1198957880828179
strongreject,strongreject/strongreject_disinformation_and_deception_0018_pap_logical_appeal,strongreject_disinformation_and_deception_0018_pap_logical_appeal,0.5331260543464176,0.4668739456535824,16,medium,0.3833333125,0.3833333125,0.2613566508783349
gaia,gaia/708b99c5-e4a7-49cb-a5cf-933c8d46470d,708b99c5-e4a7-49cb-a5cf-933c8d46470d,0.5336325949034584,0.4663674050965416,16,medium,0.4625,0.4625,0.410601692641421
featurebench-modal,featurebench-modal/lightning-ai__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,lightning-ai__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,0.5338637990597567,0.46613620094024333,16,easy,0.825,0.825,0.2331844763272204
bixbench,bixbench/bix-10-q2,bix-10-q2,0.5348281873006978,0.4651718126993022,16,hard,0.1125,0.1125,0.121834929310112
crmarena,crmarena/crmarena_0707_handle_time,crmarena_0707_handle_time,0.5361591803435494,0.46384081965645063,16,hard,0.175,0.175,0.1854049621773915
gaia2,gaia2/gaia2-cli/0567_ihcf0slwrivdml669k6oqsckk1xlo370,gaia2-cli/0567_ihcf0slwrivdml669k6oqsckk1xlo370,0.5369455872700261,0.46305441272997394,16,hard,0.0625,0.0625,0.1165922381636102
kumo,kumo/oceanenv-t4-a6-v1-s1,oceanenv-t4-a6-v1-s1,0.5374838498865699,0.46251615011343006,16,saturated,0.975,0.975,0.0968245836551854
