benchmark,task_column,task_id,representativeness_score,leave_one_out_aggregate_correlation,useful_representativeness_score,mean_abs_similarity_to_peer_tasks,difficulty_tier,task_score,observed_mean,observed_std,strength_correlation
humanevalfix,humanevalfix/python-83,python-83,0.9968886255256604,0.996840481077207,0.2428999790909991,0.9357811077152571,easy,0.925,0.925,0.243669858620224,-0.0794717231808446
humanevalfix,humanevalfix/python-152,python-152,0.9942348133270554,0.9941457259186627,0.1953028313276826,0.9332706789893431,easy,0.9375,0.9375,0.1964529205687714,-0.0821437909200146
humanevalfix,humanevalfix/python-65,python-65,0.9942348133270554,0.9941457259186628,0.19530283132768264,0.9332706789893431,easy,0.9375,0.9375,0.1964529205687714,-0.0821437909200146
humanevalfix,humanevalfix/python-132,python-132,0.9942348133270554,0.9941457259186628,0.19530283132768264,0.9332706789893431,easy,0.9375,0.9375,0.1964529205687714,-0.0821437909200146
humanevalfix,humanevalfix/python-87,python-87,0.9942348133270554,0.9941457259186628,0.19530283132768264,0.9332706789893431,easy,0.9375,0.9375,0.1964529205687714,-0.0821437909200146
humanevalfix,humanevalfix/python-158,python-158,0.9942348133270554,0.9941457259186627,0.1953028313276826,0.9332706789893431,easy,0.9375,0.9375,0.1964529205687714,-0.0821437909200146
humanevalfix,humanevalfix/python-105,python-105,0.9942348133270554,0.9941457259186628,0.19530283132768264,0.9332706789893431,easy,0.9375,0.9375,0.1964529205687714,-0.0821437909200146
humanevalfix,humanevalfix/python-108,python-108,0.9917649170934159,0.9916378245085057,0.24258418487952704,0.9309342293874393,easy,0.9125,0.9125,0.2446298223847615,-0.0923531917529711
dacode,dacode/dacode-plot-scatter-014,dacode-plot-scatter-014,0.9876441588172253,0.9875095818018508,0.3154483647630468,0.6162541197334706,easy,0.8500000000000001,0.8285714285714285,0.3194382824999699,-0.1273426706835488
mmmlu,mmmlu/mmmlu-ar-xy-00005,mmmlu-ar-xy-00005,0.9875480031863881,0.9873254275139182,0.3916382219907827,0.8422529025143651,medium,0.5875,0.5875,0.3966657913155608,-0.1383211006529229
kumo,kumo/enzymeenv-t4-a6-v1-s1,enzymeenv-t4-a6-v1-s1,0.9871287466460948,0.9869585720751196,0.16915617687630088,0.7749262864972013,easy,0.925,0.925,0.171391365010026,-0.1129863263649487
ineqmath,ineqmath/42,42,0.9865174018220992,0.986202582035003,0.24030784373536904,0.8882656182367001,easy,0.925,0.925,0.243669858620224,-0.079471939549923
ineqmath,ineqmath/9,9,0.9865174018220992,0.9862025820350029,0.240307843735369,0.8882656182367001,easy,0.925,0.925,0.243669858620224,-0.079471939549923
