benchmark,model,harbor_agent,delta_terminus2,delta_agent,agent_lift
hle,gpt-5.4,codex,-0.167219,0.14603400000000005,0.31325300000000006
terminalbench_2_0,gpt-5.4,codex,-0.38820252808988764,-0.13033752808988763,0.257865
gso,gpt-5.4,codex,-0.16075899999999999,0.05884900000000004,0.21960800000000003
simpleqa,gpt-5.4,codex,0.408,0.6219999999999999,0.2139999999999999
swe_bench_pro,gpt-5.4,codex,-0.23099999999999998,-0.052999999999999936,0.17800000000000005
sldbench,claude-haiku-4-5-20251001,claude-code,-0.12110097500000006,0.05082426875000001,0.17192524375000007
hle,gpt-5-mini,codex,-0.06026299999999998,0.101986,0.16224899999999998
swe_bench_pro,gemini-3-flash-preview,gemini-cli,0.0237,0.11570000000000003,0.09200000000000003
algotune,gemini-3.1-pro-preview,gemini-cli,-0.16275355979554063,-0.09589455979554062,0.066859
terminalbench_2_0,gemini-3-flash-preview,gemini-cli,-0.0044939325842696665,0.04943869662921341,0.053932629213483074
terminalbench_2_0,claude-opus-4-6,claude-code,-0.013483483146067399,0.02921371910112358,0.04269720224719098
swe_bench_pro,claude-opus-4-6,claude-code,-0.02300000000000002,0.019000000000000017,0.04200000000000004
terminalbench_2_0,claude-haiku-4-5-20251001,claude-code,0.02247193258426966,0.06179810112359552,0.039326168539325856
hle,claude-opus-4-6,claude-code,0.164217,0.194739,0.030521999999999994
algotune,gpt-5.4,codex,-0.14123611987235216,-0.12590711987235215,0.01532900000000001
hle,gemini-3.1-pro-preview,gemini-cli,0.06411400000000006,0.07937500000000003,0.015260999999999969
simpleqa,gemini-3.1-pro-preview,gemini-cli,0.20199999999999996,0.21299999999999997,0.01100000000000001
terminalbench_2_0,gpt-5-mini,codex,0.012359561797752827,0.017977393258426955,0.0056178314606741275
simpleqa,claude-sonnet-4-6,claude-code,0.49100000000000005,0.49299999999999994,0.0019999999999998908
bfcl,gpt-5-nano,codex,-0.08116299999999999,-0.09254499999999999,-0.011382000000000003
swe_bench_pro,gemini-3.1-pro-preview,gemini-cli,0.012999999999999956,-0.0050000000000000044,-0.01799999999999996
sldbench,gemini-3-flash-preview,gemini-cli,0.63185854145,0.6065075414500001,-0.0253509999999999
algotune,claude-opus-4-6,claude-code,0.05246789302044541,0.02615789302044541,-0.02631
bfcl,claude-haiku-4-5-20251001,claude-code,-0.07128800000000002,-0.10380900000000004,-0.03252100000000002
bfcl,gpt-5-mini,codex,0.07654400000000006,0.04077200000000003,-0.035772000000000026
simpleqa,claude-opus-4-6,claude-code,0.42700000000000005,0.379,-0.04800000000000004
terminalbench_2_0,gemini-3.1-pro-preview,gemini-cli,-0.11011219101123604,-0.17528119101123596,-0.06516899999999992
terminalbench_2_0,gpt-5-nano,codex,0.029213314606741578,-0.06292174157303371,-0.09213505617977528
