model,domain,mean_score,n_benchmarks
gemini-3.1-pro-preview,"Agents, Tools & Systems",0.5919429285714285,7
claude-opus-4-6,"Agents, Tools & Systems",0.5486833846153846,7
claude-sonnet-4-6,"Agents, Tools & Systems",0.5089680769230769,7
gpt-5.4,"Agents, Tools & Systems",0.5045202857142858,7
gemini-3-flash-preview,"Agents, Tools & Systems",0.4700103846153846,7
gpt-5-mini,"Agents, Tools & Systems",0.3676456428571428,7
claude-haiku-4-5-20251001,"Agents, Tools & Systems",0.3349597857142857,7
gpt-5-nano,"Agents, Tools & Systems",0.1967782857142857,7
claude-opus-4-6,Data & Analytics,0.45651425,2
gemini-3.1-pro-preview,Data & Analytics,0.43265149999999997,2
claude-sonnet-4-6,Data & Analytics,0.43191275,2
gemini-3-flash-preview,Data & Analytics,0.40894600000000003,2
gpt-5.4,Data & Analytics,0.36260749999999997,2
gpt-5-mini,Data & Analytics,0.27727975,2
claude-haiku-4-5-20251001,Data & Analytics,0.228125,1
gpt-5-nano,Data & Analytics,0.1488285,2
gemini-3.1-pro-preview,Knowledge & Long Context,0.7316581,5
gpt-5.4,Knowledge & Long Context,0.6409271999999999,5
gemini-3-flash-preview,Knowledge & Long Context,0.6392481,5
claude-opus-4-6,Knowledge & Long Context,0.6258595,4
claude-sonnet-4-6,Knowledge & Long Context,0.5745797500000001,4
gpt-5-mini,Knowledge & Long Context,0.5659580999999999,5
claude-haiku-4-5-20251001,Knowledge & Long Context,0.448864875,4
gpt-5-nano,Knowledge & Long Context,0.3638063,5
gemini-3.1-pro-preview,Mathematics & Reasoning,0.8835968333333333,6
claude-opus-4-6,Mathematics & Reasoning,0.8279834545454545,6
claude-sonnet-4-6,Mathematics & Reasoning,0.785287,6
gpt-5.4,Mathematics & Reasoning,0.7687836666666666,6
gpt-5-mini,Mathematics & Reasoning,0.7400143333333333,6
gemini-3-flash-preview,Mathematics & Reasoning,0.6964776666666667,6
claude-haiku-4-5-20251001,Mathematics & Reasoning,0.6782761666666667,6
gpt-5-nano,Mathematics & Reasoning,0.5937123333333333,6
claude-opus-4-6,Multimodal,0.687,1
gpt-5.4,Multimodal,0.6739999999999999,1
claude-sonnet-4-6,Multimodal,0.635,1
gemini-3.1-pro-preview,Multimodal,0.618,1
gpt-5-mini,Multimodal,0.583,1
gemini-3-flash-preview,Multimodal,0.5760000000000001,1
claude-haiku-4-5-20251001,Multimodal,0.529,1
gpt-5-nano,Multimodal,0.307,1
gemini-3.1-pro-preview,Professional Domains,0.6505212727272727,6
claude-opus-4-6,Professional Domains,0.6472433,5
claude-sonnet-4-6,Professional Domains,0.6217037000000001,5
gpt-5.4,Professional Domains,0.5828845454545455,6
gemini-3-flash-preview,Professional Domains,0.5365911818181819,6
claude-haiku-4-5-20251001,Professional Domains,0.44950159999999995,5
gpt-5-mini,Professional Domains,0.415076,6
gpt-5-nano,Professional Domains,0.17567254545454547,6
claude-haiku-4-5-20251001,Safety & Security,0.9668335,1
gpt-5.4,Safety & Security,0.950583,1
gpt-5-nano,Safety & Security,0.9490415,1
gpt-5-mini,Safety & Security,0.944882,1
claude-opus-4-6,Safety & Security,0.9163335,1
claude-sonnet-4-6,Safety & Security,0.9078335,1
gemini-3.1-pro-preview,Safety & Security,0.89175,1
gemini-3-flash-preview,Safety & Security,0.808236,1
gemini-3.1-pro-preview,Scientific Research,0.5128254375,8
gpt-5.4,Scientific Research,0.5025045625,8
gemini-3-flash-preview,Scientific Research,0.4375899375,8
claude-opus-4-6,Scientific Research,0.4197900625,8
claude-sonnet-4-6,Scientific Research,0.3804784375,8
gpt-5-mini,Scientific Research,0.342311375,8
claude-haiku-4-5-20251001,Scientific Research,0.32028875,8
gpt-5-nano,Scientific Research,0.1149858125,8
gemini-3.1-pro-preview,Software Engineering,0.6252842222222222,18
claude-opus-4-6,Software Engineering,0.61397325,17
gpt-5.4,Software Engineering,0.5975096,18
gemini-3-flash-preview,Software Engineering,0.5719464444444444,18
claude-sonnet-4-6,Software Engineering,0.5653044545454545,17
gpt-5-mini,Software Engineering,0.4354196571428572,18
claude-haiku-4-5-20251001,Software Engineering,0.4028543870967742,16
gpt-5-nano,Software Engineering,0.18580333333333335,18
