benchmark,domain,superdomain,earliest_date,latest_date,earliest_best,latest_best,absolute_progress,n_snapshots
swe_bench_verified,Software Engineering,Agentic,2023-10,2026-04,0.044,0.939,0.8949999999999999,19
arc_agi_2,Mathematics & Reasoning,Non-Agentic,2025-05,2026-02,0.03,0.846,0.816,3
livecodebench,Software Engineering,Modified Agentic,2023-03,2025-11,0.109,0.917,0.808,11
usaco,Software Engineering,Modified Agentic,2024-04,2025-08,0.202,0.6971,0.49510000000000004,5
hle,Knowledge & Long Context,Non-Agentic,2025-01,2026-04,0.094,0.4644,0.37039999999999995,2
ineqmath,Mathematics & Reasoning,Non-Agentic,2024-02,2025-07,0.5375,0.88,0.3425,10
simpleqa,Knowledge & Long Context,Non-Agentic,2024-10,2026-03,0.427,0.748,0.321,3
gso,Software Engineering,Agentic,2025-05,2026-02,0.049,0.3333,0.2843,6
aider_polyglot,Software Engineering,Modified Agentic,2024-12,2025-11,0.617,0.88,0.263,2
mmau,Multimodal,Non-Agentic,2024-10,2026-04,0.549,0.778,0.22899999999999998,2
mmmlu,Knowledge & Long Context,Non-Agentic,2024-08,2026-04,0.772,0.927,0.15500000000000003,7
scicode,Scientific Research,Modified Agentic,2024-03,2024-09,0.215,0.285,0.06999999999999998,4
algotune,Software Engineering,Modified Agentic,2025-07,2026-04,0.3516279254962272,0.4178735386225294,0.06624561312630223,2
gaia,"Agents, Tools & Systems",Agentic,2025-02,2025-02,0.7257,0.7257,0.0,1
bigcodebench,Software Engineering,Modified Agentic,2024-06,2024-06,0.561,0.561,0.0,1
aime,Mathematics & Reasoning,Non-Agentic,2026-04,2026-04,0.9812,0.9812,0.0,1
devopsgym,Software Engineering,Agentic,2026-04,2026-04,0.4681,0.4681,0.0,1
da_code,Data & Analytics,Agentic,2024-10,2024-10,0.305,0.305,0.0,1
gpqa_diamond,Knowledge & Long Context,Non-Agentic,2026-04,2026-04,0.9545,0.9545,0.0,1
multi_swe_bench,Software Engineering,Agentic,2025-03,2025-03,0.2162,0.2162,0.0,1
omni_math,Mathematics & Reasoning,Non-Agentic,2026-04,2026-04,0.6054,0.6054,0.0,1
seal0,"Agents, Tools & Systems",Agentic,2025-06,2025-06,0.171,0.171,0.0,1
swe_bench_multilingual,Software Engineering,Agentic,2026-02,2026-02,0.727,0.727,0.0,1
spider_2,Data & Analytics,Modified Agentic,2026-04,2026-04,0.5156,0.5156,0.0,1
swt_bench,Software Engineering,Agentic,2024-06,2024-06,0.203,0.203,0.0,1
widesearch,"Agents, Tools & Systems",Agentic,2025-08,2025-08,0.622,0.622,0.0,1
